"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","5413","56","0","2021","4","",25,1789,1789,1785,46457472,0,0,1999,"",2.49,2.45,2.46,2.47,3.21,0.00,0.00,1.31,"",0,0.0,-41,-2.2,-47,-2.6,-39,-2.1,-523757,-1.1,0,0.0,0,0.0,24,1.2
"01000","3","5413","56","0","2021","4","N",4,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","5413","56","0","2021","4","",2516,29581,29832,29882,847840274,21351464,394039,2191,"",1.28,1.40,1.41,1.41,1.67,1.24,1.19,1.19,"",168,7.2,1139,4.0,1283,4.5,1711,6.1,17353854,2.1,3817728,21.8,178854,83.1,-59,-2.6
"01001","5","5413","76","0","2021","4","",7,17,16,16,532092,3323,38,2506,"",0.52,0.14,0.13,0.13,0.23,0.04,0.02,1.71,"",-4,-36.4,-6,-26.1,-7,-30.4,-6,-27.3,-249817,-31.9,-4472,-57.4,-78,-67.2,-148,-5.6
"01003","5","5413","76","0","2021","4","",114,519,526,522,12121009,345837,4647,1785,"",1.13,0.64,0.64,0.64,0.76,0.49,0.37,1.18,"",8,7.5,54,11.6,58,12.4,51,10.8,2514929,26.2,11267,3.4,1036,28.7,206,13.0
"01005","1","5413","76","0","2021","4","",1,7,7,7,173174,0,0,1903,"",23.83,2.44,2.42,2.42,4.13,0.00,0.00,1.70,"",0,0.0,0,0.0,0,0.0,0,0.0,-10229,-5.6,0,0.0,0,0.0,-112,-5.6
"01005","5","5413","76","0","2021","4","",9,33,32,33,432606,22621,260,1019,"",1.10,0.40,0.38,0.39,0.29,0.30,0.17,0.76,"",-1,-10.0,-2,-5.7,-6,-15.8,-3,-8.3,-117858,-21.4,8960,65.6,49,23.2,-146,-12.5
"01007","5","5413","76","0","2021","4","N",4,0,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","5413","76","0","2021","4","",5,15,15,15,156926,7867,90,805,"",0.43,0.17,0.17,0.16,0.10,0.13,0.08,0.59,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","5413","76","0","2021","4","N",1,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","1","5413","76","0","2021","4","",2,26,28,28,630109,0,0,1773,"",10.81,1.61,1.75,1.77,2.45,0.00,0.00,1.43,"",0,0.0,2,8.3,3,12.0,3,12.0,87186,16.1,0,0.0,0,0.0,80,4.7
"01015","5","5413","76","0","2021","4","",20,170,167,164,2890207,85400,1391,1331,"",0.55,0.37,0.36,0.35,0.32,0.27,0.24,0.89,"",-2,-9.1,-11,-6.1,-16,-8.7,-22,-11.8,-135316,-4.5,-54606,-39.0,107,8.3,62,4.9
"01017","3","5413","76","0","2021","4","N",1,0,0,0,0,0,0,0,"N",33.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","5413","76","0","2021","4","N",2,0,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","5413","76","0","2021","4","N",1,0,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","5413","76","0","2021","4","",10,22,21,21,307406,15573,179,1108,"",0.87,0.23,0.22,0.22,0.17,0.25,0.17,0.76,"",1,11.1,5,29.4,4,23.5,4,23.5,85191,38.3,8233,112.2,136,316.3,103,10.2
