"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","5415","56","0","2020","1","",2,7,7,7,90957,0,0,1000,"",2.46,3.07,3.21,3.18,3.09,0.00,0.00,0.98,"",0,0.0,1,16.7,1,16.7,1,16.7,13799,17.9,0,0.0,0,0.0,11,1.1
"01000","3","5415","56","0","2020","1","N",5,0,0,0,0,0,0,0,"N",1.66,0,0,0,0,0,0,0,"N",2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","5415","56","0","2020","1","",2545,25682,25741,25553,626181423,204972391,2288090,1877,"",0.70,0.86,0.86,0.86,0.80,0.76,0.65,0.93,"",16,0.6,353,1.4,512,2.0,557,2.2,35986211,6.1,4686939,2.3,-49725,-2.1,74,4.1
"01001","5","5415","76","0","2020","1","",8,64,66,66,1497605,502481,3494,1763,"",0.32,0.38,0.40,0.40,0.40,0.39,0.19,1.03,"",0,0.0,5,8.5,7,11.9,8,13.8,112940,8.2,52523,11.7,296,9.3,-53,-2.9
"01003","5","5415","76","0","2020","1","",61,207,206,202,3629980,1481919,16793,1362,"",0.33,0.18,0.18,0.18,0.16,0.15,0.14,0.90,"",10,19.6,35,20.3,32,18.4,30,17.4,634304,21.2,258326,21.1,2640,18.7,27,2.0
"01005","5","5415","76","0","2020","1","N",2,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","5415","76","0","2020","1","N",1,0,0,0,0,0,0,0,"N",0.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","5415","76","0","2020","1","",8,29,30,68,850528,430270,4014,1545,"",0.36,0.23,0.23,0.53,0.36,0.45,0.38,1.09,"",0,0.0,-4,-12.1,-3,-9.1,45,195.7,185492,27.9,185378,75.7,1116,38.5,-179,-10.4
"01013","5","5415","76","0","2020","1","N",3,0,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","1","5415","76","0","2020","1","",1,1,1,1,8795,0,0,677,"",63.19,19.54,20.45,20.23,16.29,0.00,0.00,0.81,"",0,0.0,0,0.0,0,0.0,0,0.0,2853,48.0,0,0.0,0,0.0,220,48.1
"01015","5","5415","76","0","2020","1","",16,87,99,97,1192794,581919,4476,973,"",0.23,0.13,0.15,0.15,0.08,0.12,0.08,0.59,"",-1,-5.9,-25,-22.3,5,5.3,10,11.5,-86045,-6.7,-139470,-19.3,-4147,-48.1,-34,-3.4
"01017","5","5415","76","0","2020","1","N",4,0,0,0,0,0,0,0,"N",0.23,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","5415","76","0","2020","1","-",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","5415","76","0","2020","1","N",2,0,0,0,0,0,0,0,"N",0.09,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","5415","76","0","2020","1","",7,50,52,48,904846,406850,2880,1392,"",0.24,0.20,0.21,0.20,0.20,0.19,0.12,0.98,"",-2,-22.2,27,117.4,29,126.1,25,108.7,497910,122.4,196924,93.8,1557,117.7,31,2.3
"01033","5","5415","76","0","2020","1","",4,16,16,15,225528,107968,688,1107,"",0.11,0.04,0.04,0.04,0.03,0.03,0.01,0.61,"",-1,-20.0,-4,-20.0,-4,-20.0,-5,-25.0,-32351,-12.5,-26637,-19.8,-339,-33.0,115,11.6
"01035","5","5415","76","0","2020","1","N",1,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","5415","76","0","2020","1","N",3,0,0,0,0,0,0,0,"N",0.12,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01041","5","5415","76","0","2020","1","-",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","5415","76","0","2020","1","",11,50,49,53,889853,341333,2156,1351,"",0.21,0.12,0.11,0.12,0.10,0.09,0.05,0.86,"",0,0.0,7,16.3,4,8.9,9,20.5,121998,15.9,29917,9.6,-2098,-49.3,9,0.7
"01045","5","5415","76","0","2020","1","",28,306,301,309,5947215,2196171,19832,1498,"",1.14,1.18,1.17,1.20,0.82,1.02,0.81,0.69,"",0,0.0,24,8.5,1,0.3,4,1.3,563410,10.5,114757,5.5,1250,6.7,97,6.9
"01047","5","5415","76","0","2020","1","N",2,0,0,0,0,0,0,0,"N",0.08,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","5415","76","0","2020","1","N",2,0,0,0,0,0,0,0,"N",0.06,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","5415","76","0","2020","1","",22,103,103,100,1057357,432322,4148,797,"",0.55,0.35,0.35,0.34,0.19,0.18,0.15,0.55,"",-2,-8.3,-5,-4.6,-9,-8.0,-7,-6.5,-1199872,-53.2,-524571,-54.8,-5220,-55.7,-796,-50.0
"01053","5","5415","76","0","2020","1","N",2,0,0,0,0,0,0,0,"N",0.09,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","5415","76","0","2020","1","N",7,0,0,0,0,0,0,0,"N",0.12,0,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","5415","76","0","2020","1","N",2,0,0,0,0,0,0,0,"N",0.12,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01061","5","5415","76","0","2020","1","-",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01067","5","5415","76","0","2020","1","N",2,0,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","5415","76","0","2020","1","",16,94,97,94,1443161,697306,4183,1169,"",0.19,0.13,0.13,0.13,0.09,0.11,0.06,0.67,"",0,0.0,5,5.6,8,9.0,3,3.3,172399,13.6,70364,11.2,-2859,-40.6,79,7.2
"01071","5","5415","76","0","2020","1","N",3,0,0,0,0,0,0,0,"N",0.11,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","5415","76","0","2020","1","",269,3636,3655,3622,85289163,29022765,328250,1804,"",0.50,0.69,0.69,0.69,0.51,0.58,0.54,0.74,"",0,0.0,174,5.0,241,7.1,304,9.2,5882377,7.4,2513460,9.5,-20585,-5.9,6,0.3
"01075","5","5415","76","0","2020","1","N",1,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","5","5415","76","0","2020","1","",23,99,101,101,1488970,755338,17410,1142,"",0.39,0.22,0.23,0.23,0.18,0.21,0.36,0.78,"",3,15.0,37,59.7,40,65.6,41,68.3,584302,64.6,301043,66.3,7560,76.8,1,0.1
"01079","5","5415","76","0","2020","1","N",1,0,0,0,0,0,0,0,"N",0.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","5415","76","0","2020","1","",39,266,277,279,4020365,1880381,42110,1129,"",0.42,0.30,0.31,0.31,0.21,0.29,0.52,0.68,"",-1,-2.5,-2,-0.7,9,3.4,2,0.7,-182071,-4.3,-6423,-0.3,22889,119.1,-64,-5.4
