cbsacode,metropolitandivisioncode,csacode,cbsatitle,metropolitanmicropolitanstatis,metropolitandivisiontitle,csatitle,countycountyequivalent,statename,fipsstatecode,fipscountycode,centraloutlyingcounty,full_fipscode
33860,,388.0,"Montgomery, AL",Metropolitan Statistical Area,,"Montgomery-Selma, AL",Autauga County,Alabama,01,001,Central,01001
19300,,380.0,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,,"Mobile-Daphne-Fairhope, AL",Baldwin County,Alabama,01,003,Central,01003
21640,,,"Eufaula, AL-GA",Micropolitan Statistical Area,,,Barbour County,Alabama,01,005,Central,01005
13820,,142.0,"Birmingham, AL",Metropolitan Statistical Area,,"Birmingham-Cullman-Talladega, AL",Bibb County,Alabama,01,007,Outlying,01007
13820,,142.0,"Birmingham, AL",Metropolitan Statistical Area,,"Birmingham-Cullman-Talladega, AL",Blount County,Alabama,01,009,Outlying,01009
11500,,,"Anniston-Oxford, AL",Metropolitan Statistical Area,,,Calhoun County,Alabama,01,015,Central,01015
29300,,122.0,"LaGrange, GA-AL",Micropolitan Statistical Area,,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Chambers County,Alabama,01,017,Outlying,01017
13820,,142.0,"Birmingham, AL",Metropolitan Statistical Area,,"Birmingham-Cullman-Talladega, AL",Chilton County,Alabama,01,021,Outlying,01021
21460,,222.0,"Enterprise, AL",Micropolitan Statistical Area,,"Dothan-Enterprise-Ozark, AL",Coffee County,Alabama,01,031,Central,01031
22520,,250.0,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,,"Florence-Muscle Shoals-Russellville, AL",Colbert County,Alabama,01,033,Central,01033
45180,,142.0,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,,"Birmingham-Cullman-Talladega, AL",Coosa County,Alabama,01,037,Outlying,01037
18980,,142.0,"Cullman, AL",Micropolitan Statistical Area,,"Birmingham-Cullman-Talladega, AL",Cullman County,Alabama,01,043,Central,01043
37120,,222.0,"Ozark, AL",Micropolitan Statistical Area,,"Dothan-Enterprise-Ozark, AL",Dale County,Alabama,01,045,Central,01045
42820,,388.0,"Selma, AL",Micropolitan Statistical Area,,"Montgomery-Selma, AL",Dallas County,Alabama,01,047,Central,01047
22840,,290.0,"Fort Payne, AL",Micropolitan Statistical Area,,"Huntsville-Decatur-Albertville, AL-TN",DeKalb County,Alabama,01,049,Central,01049
33860,,388.0,"Montgomery, AL",Metropolitan Statistical Area,,"Montgomery-Selma, AL",Elmore County,Alabama,01,051,Central,01051
23460,,,"Gadsden, AL",Metropolitan Statistical Area,,,Etowah County,Alabama,01,055,Central,01055
40770,,250.0,"Russellville, AL",Micropolitan Statistical Area,,"Florence-Muscle Shoals-Russellville, AL",Franklin County,Alabama,01,059,Central,01059
20020,,222.0,"Dothan, AL",Metropolitan Statistical Area,,"Dothan-Enterprise-Ozark, AL",Geneva County,Alabama,01,061,Outlying,01061
46220,,,"Tuscaloosa, AL",Metropolitan Statistical Area,,,Greene County,Alabama,01,063,Outlying,01063
46220,,,"Tuscaloosa, AL",Metropolitan Statistical Area,,,Hale County,Alabama,01,065,Outlying,01065
20020,,222.0,"Dothan, AL",Metropolitan Statistical Area,,"Dothan-Enterprise-Ozark, AL",Henry County,Alabama,01,067,Outlying,01067
20020,,222.0,"Dothan, AL",Metropolitan Statistical Area,,"Dothan-Enterprise-Ozark, AL",Houston County,Alabama,01,069,Central,01069
42460,,174.0,"Scottsboro, AL",Micropolitan Statistical Area,,"Chattanooga-Cleveland-Dalton, TN-GA-AL",Jackson County,Alabama,01,071,Central,01071
13820,,142.0,"Birmingham, AL",Metropolitan Statistical Area,,"Birmingham-Cullman-Talladega, AL",Jefferson County,Alabama,01,073,Central,01073
